feature,importance,importance_std,perturbed_qwk
Medical_History_32,0.08707200968525985,0.0,0.5146916085767228
BMI,0.03255431242886919,0.0,0.5692093058331135
Product_Info_4,0.02900709341393115,0.0,0.5727565248480515
Medical_History_4,0.0255590951548047,0.0,0.576204523107178
Ins_Age,0.02122066442026016,0.0,0.5805429538417225
Wt,0.0208101706941326,0.0,0.5809534475678501
Medical_History_24,0.017569684138708408,0.0,0.5841939341232742
Insurance_History_1,0.016682785197495442,0.0,0.5850808330644872
Medical_History_20,0.01616905260317958,0.0,0.5855945656588031
Family_Hist_5,0.015348496955661872,0.0,0.5864151213063208
Medical_History_1,0.013787131551318832,0.0,0.5879764867106638
Employment_Info_6,0.013414866610019893,0.0,0.5883487516519628
Employment_Info_4,0.01027791626241259,0.0,0.5914857019995701
Employment_Info_1,0.007812849475438255,0.0,0.5939507687865444
Medical_Keyword_7,0.006773609697894645,0.0,0.594990008564088
Medical_History_7,0.006351916323515616,0.0,0.595411701938467
Medical_History_23,0.006348294038748259,0.0,0.5954153242232344
Medical_Keyword_16,0.005928940698086915,0.0,0.5958346775638957
Medical_History_15,0.005347741484731494,0.0,0.5964158767772512
Product_Info_6,0.004931104521745389,0.0,0.5968325137402373
Insurance_History_5,0.004509861099046164,0.0,0.5972537571629365
Medical_Keyword_33,0.00429380802621504,0.0,0.5974698102357676
Insurance_History_4,0.00429380802621504,0.0,0.5974698102357676
Medical_Keyword_48,0.00429380802621504,0.0,0.5974698102357676
Medical_History_14,0.00429380802621504,0.0,0.5974698102357676
Product_Info_3,0.00429380802621504,0.0,0.5974698102357676
Medical_Keyword_12,0.0038771772804315763,0.0,0.5978864409815511
Medical_Keyword_23,0.003265432654969369,0.0,0.5984981856070133
Medical_History_18,0.00322874041564003,0.0,0.5985348778463426
InsuredInfo_6,0.0027551609858087467,0.0,0.5990084572761739
Medical_History_34,0.0020860255698816887,0.0,0.599677592692101
Medical_History_9,0.0014179712539895695,0.0,0.6003456470079931
Medical_History_29,0.0014179712539895695,0.0,0.6003456470079931
Medical_Keyword_5,0.00040093856305645215,0.0,0.6013626796989262
Medical_Keyword_1,0.00040093856305645215,0.0,0.6013626796989262
Medical_Keyword_4,0.00040093856305645215,0.0,0.6013626796989262
Family_Hist_1,0.00040093856305645215,0.0,0.6013626796989262
Medical_Keyword_19,0.00040093856305645215,0.0,0.6013626796989262
InsuredInfo_4,0.00040093856305645215,0.0,0.6013626796989262
Product_Info_5,0.00040093856305645215,0.0,0.6013626796989262
Product_Info_7,0.00040093856305645215,0.0,0.6013626796989262
Medical_Keyword_44,0.00040093856305645215,0.0,0.6013626796989262
Employment_Info_5,0.00040093856305645215,0.0,0.6013626796989262
InsuredInfo_3,0.00040093856305645215,0.0,0.6013626796989262
Medical_Keyword_22,0.00040093856305645215,0.0,0.6013626796989262
Medical_Keyword_37,0.0003886767509867495,0.0,0.6013749415109959
Medical_History_33,0.0001983390019327791,0.0,0.6015652792600499
Medical_Keyword_9,0.0,0.0,0.6017636182619827
Medical_Keyword_24,0.0,0.0,0.6017636182619827
Medical_Keyword_20,0.0,0.0,0.6017636182619827
Medical_Keyword_46,0.0,0.0,0.6017636182619827
Medical_Keyword_13,0.0,0.0,0.6017636182619827
Medical_History_35,0.0,0.0,0.6017636182619827
Medical_History_38,0.0,0.0,0.6017636182619827
Medical_Keyword_43,0.0,0.0,0.6017636182619827
Medical_Keyword_38,0.0,0.0,0.6017636182619827
Medical_Keyword_29,0.0,0.0,0.6017636182619827
Medical_Keyword_2,0.0,0.0,0.6017636182619827
Medical_Keyword_17,0.0,0.0,0.6017636182619827
Medical_Keyword_27,0.0,0.0,0.6017636182619827
Medical_Keyword_35,0.0,0.0,0.6017636182619827
Medical_Keyword_6,0.0,0.0,0.6017636182619827
Medical_Keyword_31,0.0,0.0,0.6017636182619827
Medical_Keyword_8,0.0,0.0,0.6017636182619827
Medical_History_31,0.0,0.0,0.6017636182619827
Medical_History_27,0.0,0.0,0.6017636182619827
InsuredInfo_5,0.0,0.0,0.6017636182619827
InsuredInfo_2,0.0,0.0,0.6017636182619827
Medical_History_5,0.0,0.0,0.6017636182619827
InsuredInfo_7,0.0,0.0,0.6017636182619827
Medical_History_11,0.0,0.0,0.6017636182619827
Medical_Keyword_15,-0.00018162669478971605,0.0,0.6019452449567724
Medical_History_2,-0.0007067444838113612,0.0,0.602470362745794
Medical_Keyword_39,-0.0017778409899018577,0.0,0.6035414592518845
Medical_History_41,-0.0017778409899018577,0.0,0.6035414592518845
Medical_Keyword_30,-0.0017778409899018577,0.0,0.6035414592518845
Medical_Keyword_26,-0.0017778409899018577,0.0,0.6035414592518845
Medical_Keyword_21,-0.00200726650063765,0.0,0.6037708847626203
Medical_Keyword_18,-0.002170459356305443,0.0,0.6039340776182881
